000000 00000 00000 00001 00000 100000	64	ADD R1, R0, R0
110000 00000 00010 00000 00000 000101	68	ADD R2, R0, #5
000100 00001 00010 00000 00000 010001	72	BEQ R1, R2, #68
000000 00000 00001 10000 00010 000000	76	SLL R16, R1, #2
100011 10000 00011 00000 00010 010100	80	LW R3, 148(R16)
100011 10000 00100 00000 00010 101000	84	LW R4, 168(R16)
100011 10000 00101 00000 00010 111100	88	LW R5, 188(R16)
011100 00011 00100 00101 00000 000010	92	MUL R5, R3, R4
000100 00101 00000 00000 00000 000111	96	BEQ R5, R0, #28
000111 00101 00000 00000 00000 000100	100	BGTZ R5, #16
000000 00011 00100 00110 00000 100000	104	ADD R6, R3, R4
000000 00110 00101 00101 00000 100010	108	SUB R5, R6, R5
000010 00000 00000 00000 00000 100001	112	J #132
000001 00101 00000 00000 00000 000001	116	BLTZ R5, #4
000000 00000 00101 00101 00010 000000	120	SLL R5, R5, #2
000010 00000 00000 00000 00000 100001	124	J #132
110000 00101 00101 00000 00000 001100	128	ADD R5, R5, #12
101011 10000 00101 00000 00010 111100	132	SW R5, 188(R16)
110000 00001 00001 00000 00000 000001	136	ADD R1, R1, #1
000010 00000 00000 00000 00000 010010	140	J #72
000000 00000 00000 00000 00000 001101	144	BREAK
11111111111111111111111111111111	148	-1
11111111111111111111111111111110	152	-2
11111111111111111111111111111101	156	-3
00000000000000000000000000000001	160	1
00000000000000000000000000000010	164	2
00000000000000000000000000000100	168	4
11111111111111111111111111111100	172	-4
00000000000000000000000000001010	176	10
00000000000000000000000000000111	180	7
00000000000000000000000000001001	184	9
00000000000000000000000000000001	188	1
00000000000000000000000000000000	192	0
11111111111111111111111111111111	196	-1
00000000000000000000000000000001	200	1
11111111111111111111111111111111	204	-1
00000000000000000000000000000000	208	0
00000000000000000000000000000000	212	0
00000000000000000000000000000000	216	0
00000000000000000000000000000000	220	0
00000000000000000000000000000000	224	0
00000000000000000000000000000000	228	0
00000000000000000000000000000000	232	0
00000000000000000000000000000000	236	0
00000000000000000000000000000000	240	0
